ride_id,rideable_type,started_at,ended_at,ride_length,day_of_week,start_station_name,end_station_name,member_casual
21742443,classic_bike,2019-01-01 0:04:37,2019-01-01 0:11:07,0:06:30,3,Wabash Ave & Grand Ave,Milwaukee Ave & Grand Ave,NA
21742444,classic_bike,2019-01-01 0:08:13,2019-01-01 0:15:34,0:07:21,3,State St & Randolph St,Dearborn St & Van Buren St (*),NA
21742445,classic_bike,2019-01-01 0:13:23,2019-01-01 0:27:12,0:13:49,3,Racine Ave & 18th St,Western Ave & Fillmore St (*),NA
21742446,classic_bike,2019-01-01 0:13:45,2019-01-01 0:43:28,0:29:43,3,California Ave & Milwaukee Ave,Clark St & Elm St,NA
21742447,classic_bike,2019-01-01 0:14:52,2019-01-01 0:20:56,0:06:04,3,Mies van der Rohe Way & Chicago Ave,Streeter Dr & Grand Ave,NA
21742448,classic_bike,2019-01-01 0:15:33,2019-01-01 0:19:09,0:03:36,3,LaSalle St & Washington St,Dearborn St & Monroe St,NA
21742449,classic_bike,2019-01-01 0:16:06,2019-01-01 0:19:03,0:02:57,3,LaSalle St & Washington St,Dearborn St & Monroe St,NA
21742450,classic_bike,2019-01-01 0:18:41,2019-01-01 0:20:21,0:01:40,3,St. Clair St & Erie St,McClurg Ct & Erie St,NA
21742451,classic_bike,2019-01-01 0:18:43,2019-01-01 0:47:30,0:28:47,3,Fort Dearborn Dr & 31st St,State St & 33rd St,NA
21742452,classic_bike,2019-01-01 0:19:18,2019-01-01 0:24:54,0:05:36,3,Lake Shore Dr & North Blvd,Clark St & Lincoln Ave,NA
21742453,classic_bike,2019-01-01 0:20:34,2019-01-01 0:35:20,0:14:46,3,Halsted St & Roscoe St,Broadway & Argyle St,NA
21742454,classic_bike,2019-01-01 0:21:52,2019-01-01 0:32:45,0:10:53,3,Prairie Ave & Garfield Blvd,Ellis Ave & 55th St,NA
21742455,classic_bike,2019-01-01 0:23:04,2019-01-01 0:33:05,0:10:01,3,Millennium Park,Indiana Ave & Roosevelt Rd,NA
21742456,classic_bike,2019-01-01 0:23:43,2019-01-01 0:33:05,0:09:22,3,Millennium Park,Indiana Ave & Roosevelt Rd,NA
21742457,classic_bike,2019-01-01 0:23:54,2019-01-01 0:39:00,0:15:06,3,Wells St & Concord Ln,Stockton Dr & Wrightwood Ave,NA
21742458,classic_bike,2019-01-01 0:24:08,2019-01-01 0:39:00,0:14:52,3,Wells St & Concord Ln,Stockton Dr & Wrightwood Ave,NA
21742459,classic_bike,2019-01-01 0:24:13,2019-01-01 0:31:00,0:06:47,3,Lincoln Ave & Diversey Pkwy,Ashland Ave & Wrightwood Ave,NA
21742460,classic_bike,2019-01-01 0:24:27,2019-01-01 0:47:03,0:22:36,3,Lake Shore Dr & North Blvd,Greenview Ave & Diversey Pkwy,NA
21742461,classic_bike,2019-01-01 0:25:28,2019-01-01 0:27:10,0:01:42,3,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,NA
21742463,classic_bike,2019-01-01 0:29:19,2019-01-01 1:08:12,0:38:53,3,Streeter Dr & Grand Ave,Wabash Ave & Adams St,NA
21742464,classic_bike,2019-01-01 0:29:21,2019-01-01 0:45:21,0:16:00,3,State St & Kinzie St,Sedgwick St & Huron St,NA
21742465,classic_bike,2019-01-01 0:29:28,2019-01-01 1:07:49,0:38:21,3,Streeter Dr & Grand Ave,Wabash Ave & Adams St,NA
21742466,classic_bike,2019-01-01 0:29:47,2019-01-01 0:49:15,0:19:28,3,Michigan Ave & Oak St,Lake Shore Dr & Diversey Pkwy,NA
21742467,classic_bike,2019-01-01 0:30:48,2019-01-01 0:38:42,0:07:54,3,Wells St & Concord Ln,Lakeview Ave & Fullerton Pkwy,NA
21742468,classic_bike,2019-01-01 0:33:09,2019-01-01 0:50:25,0:17:16,3,Wilton Ave & Diversey Pkwy,Wood St & Milwaukee Ave,NA
21742469,classic_bike,2019-01-01 0:34:35,2019-01-01 0:38:25,0:03:50,3,Greenview Ave & Jarvis Ave,Eastlake Ter & Rogers Ave,NA
21742471,classic_bike,2019-01-01 0:38:11,2019-01-01 0:50:38,0:12:27,3,Broadway & Sheridan Rd,Paulina St & Montrose Ave,NA
21742472,classic_bike,2019-01-01 0:38:47,2019-01-01 0:50:38,0:11:51,3,Broadway & Sheridan Rd,Paulina St & Montrose Ave,NA
